fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,finalpoints,wins,gp,oppfg,oppfga,oppfg3,oppfg3a,oppft,oppfta,opporb,oppdrb,oppast,oppstl,oppblk,opptov,opppf,opppts,oppfinalpoints,oppwins,oppgp
11,29,2,10,4,6,4,9,8,3,1,1,3,28,117,1,1,7,22,1,5,3,4,5,9,3,0,4,7,7,18,88,0,1
10,20,4,4,2,2,1,4,7,1,1,2,5,26,113,1,1,9,16,1,2,7,7,0,8,6,1,2,3,3,26,104,0,1
7,20,2,10,4,4,0,9,4,3,2,4,2,20,100,0,1,12,27,3,4,4,4,5,12,7,4,0,3,3,31,129,1,1
14,25,2,4,3,6,3,12,10,4,0,3,5,33,130,1,1,9,25,3,10,0,0,4,10,5,2,1,5,6,21,121,0,1
9,25,2,4,7,10,8,6,4,1,1,1,2,27,96,0,1,11,25,0,3,1,3,7,7,4,0,1,4,7,23,108,1,1
10,18,0,0,13,13,1,10,4,2,0,3,4,33,109,1,1,10,23,1,3,2,2,0,7,4,2,0,3,9,23,91,0,1
12,24,4,10,5,5,5,6,10,5,2,4,5,33,122,1,1,12,22,5,8,2,2,3,6,7,2,0,5,5,31,117,0,1
9,20,1,1,5,6,2,9,7,0,3,3,4,24,96,0,1,14,25,2,7,2,2,1,9,11,2,2,0,4,32,107,1,1
11,27,0,3,2,2,2,7,9,5,1,2,7,24,102,0,1,10,18,2,3,8,12,1,12,3,2,1,5,4,30,107,1,1
11,24,6,9,1,2,4,7,7,1,1,3,5,29,102,1,1,13,21,2,3,4,7,2,8,9,3,2,1,2,32,98,0,1
10,20,1,6,3,8,1,13,6,3,4,6,9,24,97,0,1,8,22,1,5,6,8,2,10,5,2,1,5,5,23,103,1,1
8,19,0,4,3,4,0,9,3,2,1,3,5,19,94,0,1,12,25,1,7,5,6,3,11,8,1,0,3,5,30,113,1,1
15,25,7,13,1,1,4,5,9,1,0,5,6,38,120,1,1,16,24,2,4,4,7,2,4,9,2,0,1,4,38,114,0,1
10,25,2,4,7,7,7,10,4,1,0,5,1,29,114,1,1,13,26,1,3,0,0,3,7,9,5,3,3,6,27,99,0,1
11,23,3,4,5,8,4,12,9,2,0,3,4,30,105,1,1,8,19,2,6,2,4,0,8,5,2,1,3,6,20,99,1,2
11,22,3,6,2,3,2,6,5,1,2,3,6,27,106,1,2,11,23,2,5,4,4,4,6,3,3,1,2,4,28,114,1,1
11,18,0,2,7,7,0,8,7,3,0,6,6,29,94,1,2,10,20,1,5,6,7,3,5,5,3,3,4,5,27,102,2,2
11,24,1,3,0,0,5,8,3,0,1,3,4,23,91,1,2,11,24,3,5,3,3,4,8,5,0,1,2,0,28,94,2,2
